planet_name,planet_alternate_name,planet_name_key,type,planetary_body_type,type_body,star_system,level,gravity,temperature,atmosphere,magnetosphere,water,planet_resources,planet_resources_count,fauna,flora,biomes_cleaned,biomes_simple,traits_cleaned,criteria_match,water_simple,temperature_intensity,pressure_intensity,atmosphere_intensity,gravity_intensity,resources_matched,bodytype_for_predictor_algorithm,temp_for_predictor_algorithm,atmotype_for_predictor_algorithm,mag_for_predictor_algorithm,water_for_predictor_algorithm,predicted_fauna,predicted_flora,fauna_result,flora_result,planet_resources_inorganics,planet_resources_organics,planet_animal_farm_resources,planet_plant_farm_resources,planet_inorganic_resources_count,planet_organic_resources_count,planet_animal_farm_resources_count,planet_plant_farm_resources_count,o2,temperature degree reading,condition,ok for 0 hab skill,temperature_atmosphere,type_body_magnetosphere,predict_irradiation
Al-Battani IV-b,,AlBattaniIVb,Barren,Moon,Barren Moon,Al-Battani,35,0.07,Frozen,None,None,None,,0,None,None,Cratered,Craters,Unknown,58.3%,No,0,0,0,0,,3,0.2787,1,1,1,-3,-3,0,0,,,,,0,0,0,0,,,,,Frozen None,Barren Moon None,0
Al-Battani V,,AlBattaniV,Barren,Planet,Barren Planet,Al-Battani,35,0.77,Deep freeze,None,Weak,None,"Fe,He-3",2,None,None,Cratered,Craters,Unknown,58.3%,No,1,0,0,0,Fe,3,0.5022,1,3,1,-4,-3,0,0,"Fe,He-3",,,,2,0,0,0,,,,,Deep freeze None,Barren Planet Weak,0
Al-Battani V-a,,AlBattaniVa,Barren,Moon,Barren Moon,Al-Battani,35,0.15,Deep freeze,None,None,None,"Al,Be,He-3,Nd",4,None,None,Cratered,Craters,Unknown,58.3%,No,1,0,0,0,Al,3,0.5022,1,1,1,-3,-3,0,0,"Al,Be,He-3,Nd",,,,4,0,0,0,,,,,Deep freeze None,Barren Moon None,0
Al-Battani VI,,AlBattaniVI,Gas giant,Planet,Gas giant Planet,Al-Battani,35,1.99,Deep freeze,H2,Strong,None,,0,None,None,Ocean,Ocean,Unknown,58.3%,No,1,0,0,0,,2,0.5022,3,5,1,-1,-1,0,0,,,,,0,0,0,0,,,,,Deep freeze H2,Gas giant Planet Strong,0
Al-Battani VI-a,,AlBattaniVIa,Ice,Moon,Ice Moon,Al-Battani,35,0.28,Deep freeze,None,None,Heavy metal,"Cu,H2O",2,None,None,Polar-Ice,Ice,Unknown,66.7%,Yes,1,0,0,0,,3,0.5022,1,1,2,-2,-2,0,0,"Cu,H2O",,,,2,0,0,0,,,,,Deep freeze None,Ice Moon None,0
Al-Battani VI-b,,AlBattaniVIb,Ice,Moon,Ice Moon,Al-Battani,35,0.03,Deep freeze,None,None,Safe,"Cu,H2O",2,None,None,Polar-Ice,Ice,Unknown,66.7%,Yes,1,0,0,0,,3,0.5022,1,1,6,2,0,0,0,"Cu,H2O",,,,2,0,0,0,,,,,Deep freeze None,Ice Moon None,0
Al-Battani VII,,AlBattaniVII,Ice giant,Planet,Ice giant Planet,Al-Battani,35,0.81,Deep freeze,H2,Weak,None,,0,None,None,Ocean,Ocean,Unknown,58.3%,No,1,0,0,0,,2,0.5022,3,3,1,-1,-1,0,0,,,,,0,0,0,0,,,,,Deep freeze H2,Ice giant Planet Weak,0
Al-Battani VII-a,,AlBattaniVIIa,Barren,Moon,Barren Moon,Al-Battani,35,0.42,Deep freeze,None,None,None,"Al,Be,He-3",3,None,None,Cratered,Craters,Unknown,58.3%,No,1,0,0,0,Al,3,0.5022,1,1,1,-3,-3,0,0,"Al,Be,He-3",,,,3,0,0,0,,,,,Deep freeze None,Barren Moon None,0
Al-Battani VIII,,AlBattaniVIII,Barren,Planet,Barren Planet,Al-Battani,35,0.49,Deep freeze,None,Weak,None,"Al,Be,He-3",3,None,None,Cratered,Craters,Unknown,58.3%,No,1,0,0,0,Al,3,0.5022,1,3,1,-4,-3,0,0,"Al,Be,He-3",,,,3,0,0,0,,,,,Deep freeze None,Barren Planet Weak,0
Al-Battani VIII-a,,AlBattaniVIIIa,Ice,Moon,Ice Moon,Al-Battani,35,0.03,Deep freeze,None,None,Chemical,"Ag,H2O,Pb",3,None,None,Polar-Ice,Ice,Unknown,66.7%,Yes,1,0,0,0,,3,0.5022,1,1,3,-1,-2,0,0,"Ag,H2O,Pb",,,,3,0,0,0,,,,,Deep freeze None,Ice Moon None,0
Alchiba I,Corvi I,AlchibaI,Rock,Planet,Rock Planet,Alchiba,50,1.75,Inferno,Extr CO2,Average,None,"Co,Ni,Pb,Pd",4,Unknown,Unknown,"Desert-Rocky,Hills,SavannahBarren","Desert,Hills,Savanna",Unknown,50.0%,No,1,2,0,0,,4,1.0000,4,4,1,-3,-3,0*,0*,"Co,Ni,Pb,Pd",,,,4,0,0,0,,,,,Inferno Extr CO2,Rock Planet Average,0
Alchiba II,Corvi II,AlchibaII,Rock,Planet,Rock Planet,Alchiba,50,0.71,Inferno,Std CO2,Average,None,"Ag,Fe,HnCn,Ir,Pb,U",6,None,None,"Desert-Rocky,Desert-Sandy,Mountains,SavannahBarren","Desert,Mountains,Savanna",Unknown,58.3%,No,1,0,0,0,Fe,4,1.0000,4,4,1,-3,-3,0,0,"Ag,Fe,HnCn,Ir,Pb,U",,,,6,0,0,0,0%,541,Ambient Heat,No,Inferno Std CO2,Rock Planet Average,0
Alchiba II-a,Corvi II-a,AlchibaIIa,Barren,Moon,Barren Moon,Alchiba,50,0.08,Inferno,None,None,None,"Al,He-3",2,Unknown,Unknown,Cratered,Craters,Unknown,50.0%,No,1,0,0,0,Al,3,1.0000,1,1,1,-3,-3,0*,0*,"Al,He-3",,,,2,0,0,0,,,,,Inferno None,Barren Moon None,1
Alchiba III,Corvi III,AlchibaIII,Gas giant,Planet,Gas giant Planet,Alchiba,50,1.24,Temperate,H2,Average,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,66.7%,No,0,0,0,0,,2,0.0089,3,4,1,-1,-1,0*,0*,,,,,0,0,0,0,,,,,Temperate H2,Gas giant Planet Average,0
Alchiba III-a,Corvi III-a,AlchibaIIIa,Ice,Moon,Ice Moon,Alchiba,50,0.15,Temperate,None,None,None,"Al,H2O,He-3,Pb,W",5,Unknown,Unknown,"Cratered,Polar-Ice","Craters,Ice",Unknown,66.7%,No,0,0,0,0,Al,3,0.0089,1,1,1,-3,-3,0*,0*,"Al,H2O,He-3,Pb,W",,,,5,0,0,0,,,,,Temperate None,Ice Moon None,0
Alchiba III-b,Corvi III-b,AlchibaIIIb,Ice,Moon,Ice Moon,Alchiba,50,0.04,Cold,None,None,None,"Al,He-3",2,Unknown,Unknown,Cratered,Craters,Unknown,50.0%,No,0,0,0,0,Al,3,0.0000,1,1,1,-3,-3,0*,0*,"Al,He-3",,,,2,0,0,0,,,,,Cold None,Ice Moon None,0
Alchiba III-c,Corvi III-c,AlchibaIIIc,Barren,Moon,Barren Moon,Alchiba,50,0.14,Temperate,None,None,Safe,"Al,Be,Co,H2O,He-3,Nd,Ni,Pt",8,Unknown,Unknown,"Cratered,Polar-Ice","Craters,Ice",Unknown,75.0%,Yes,0,0,0,0,Al,3,0.0089,1,1,6,3,1,3*,1*,"Al,Be,Co,H2O,He-3,Nd,Ni,Pt",,,,8,0,0,0,,,,,Temperate None,Barren Moon None,0
Alchiba IV,Corvi IV,AlchibaIV,Rock,Planet,Rock Planet,Alchiba,50,0.80,Cold,Std M,Weak,Safe,"Cu,H2O,Ir,Pb,U,V,xF4",7,Unknown,Unknown,"Mountains,Polar-Ice,SavannahBarren","Mountains,Ice,Savanna",Unknown,58.3%,Yes,0,0,3,0,,4,0.0000,5,3,6,6,3,6*,3*,"Cu,H2O,Ir,Pb,U,V,xF4",,,,7,0,0,0,,,,,Cold Std M,Rock Planet Weak,0
Alchiba IV-a,Corvi IV-a,AlchibaIVa,Rock,Moon,Rock Moon,Alchiba,50,0.36,Cold,Thin CO2,None,Chemical,"Ar,Co,Cu,F,H2O,Ni,Pb",7,Unknown,Unknown,"Desert-Rocky,Hills,Polar-Ice,SavannahBarren","Desert,Hills,Ice,Savanna",Unknown,58.3%,Yes,0,0,0,0,,4,0.0000,4,1,3,0,-1,0*,0*,"Ar,Co,Cu,F,H2O,Ni,Pb",,,,7,0,0,0,,,,,Cold Thin CO2,Rock Moon None,0
Alchiba IX,Corvi IX,AlchibaIX,Gas giant,Planet,Gas giant Planet,Alchiba,50,3.82,Deep freeze,H2,Strong,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,50.0%,No,1,0,0,4,,2,0.5022,3,5,1,-1,-1,0*,0*,,,,,0,0,0,0,,,,,Deep freeze H2,Gas giant Planet Strong,0
Alchiba IX-a,Corvi IX-a,AlchibaIXa,Ice,Moon,Ice Moon,Alchiba,50,0.10,Deep freeze,None,None,Safe,"Ar,H2O",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,58.3%,Yes,1,0,0,0,,3,0.5022,1,1,6,2,0,2*,0*,"Ar,H2O",,,,2,0,0,0,,,,,Deep freeze None,Ice Moon None,0
Alchiba V,Corvi V,AlchibaV,Rock,Planet,Rock Planet,Alchiba,50,0.52,Frozen,Thin N2,Powerful,Chemical,"Ar,H2O,Ir,Pb,U",5,None,None,"Desert-Rocky,Desert-Sandy,Mountains,Polar-Ice","Desert,Mountains,Ice",Unknown,66.7%,Yes,0,0,0,0,,4,0.2787,2,7,3,0,-1,0,0,"Ar,H2O,Ir,Pb,U",,,,5,0,0,0,0%,-54,Ambient Cold,Yes,Frozen Thin N2,Rock Planet Powerful,0
Alchiba V-a,Corvi V-a,AlchibaVa,Barren,Moon,Barren Moon,Alchiba,50,0.08,Cold,None,None,None,"Fe,He-3,HnCn,Yb",4,Unknown,Unknown,Cratered,Craters,Unknown,50.0%,No,0,0,0,0,Fe,3,0.0000,1,1,1,-3,-3,0*,0*,"Fe,He-3,HnCn,Yb",,,,4,0,0,0,,,,,Cold None,Barren Moon None,0
Alchiba VI,Corvi VI,AlchibaVI,Ice giant,Planet,Ice giant Planet,Alchiba,50,1.11,Frozen,H2,Weak,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,50.0%,No,0,0,0,0,,2,0.2787,3,3,1,-1,-1,0*,0*,,,,,0,0,0,0,,,,,Frozen H2,Ice giant Planet Weak,0
Alchiba VI-a,Corvi VI-a,AlchibaVIa,Ice,Moon,Ice Moon,Alchiba,50,0.04,Frozen,None,None,Chemical,"Au,Cu,F,H2O",4,Unknown,Unknown,Polar-Ice,Ice,Unknown,58.3%,Yes,0,0,0,0,,3,0.2787,1,1,3,-1,-2,0*,0*,"Au,Cu,F,H2O",,,,4,0,0,0,,,,,Frozen None,Ice Moon None,0
Alchiba VI-b,Corvi VI-b,AlchibaVIb,Ice,Moon,Ice Moon,Alchiba,50,0.16,Frozen,None,None,Safe,"Cu,H2O,xF4",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,58.3%,Yes,0,0,0,0,,3,0.2787,1,1,6,2,0,2*,0*,"Cu,H2O,xF4",,,,3,0,0,0,,,,,Frozen None,Ice Moon None,0
Alchiba VI-c,Corvi VI-c,AlchibaVIc,Ice,Moon,Ice Moon,Alchiba,50,0.30,Frozen,None,None,Safe,"Cu,F,H2O",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,58.3%,Yes,0,0,0,0,,3,0.2787,1,1,6,2,0,2*,0*,"Cu,F,H2O",,,,3,0,0,0,,,,,Frozen None,Ice Moon None,0
Alchiba VII,Corvi VII,AlchibaVII,Ice giant,Planet,Ice giant Planet,Alchiba,50,1.35,Deep freeze,H2,Average,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,50.0%,No,1,0,0,0,,2,0.5022,3,4,1,-1,-1,0*,0*,,,,,0,0,0,0,,,,,Deep freeze H2,Ice giant Planet Average,0
Alchiba VII-a,Corvi VII-a,AlchibaVIIa,Ice,Moon,Ice Moon,Alchiba,50,0.15,Deep freeze,None,None,Chemical,"Cu,H2O",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,58.3%,Yes,1,0,0,0,,3,0.5022,1,1,3,-1,-2,0*,0*,"Cu,H2O",,,,2,0,0,0,,,,,Deep freeze None,Ice Moon None,0
Alchiba VII-b,Corvi VII-b,AlchibaVIIb,Rock,Moon,Rock Moon,Alchiba,50,0.45,Cold,Thin M,None,Safe,"Cl,Co,Cu,H2O,Ni,Pb,xF4",7,Unknown,Unknown,"Forest,Hills,Mountains,Ocean,Polar-Ice,Wetlands","Forest,Hills,Mountains,Ocean,Ice,Wetlands",Unknown,75.0%,Yes,0,0,0,0,,4,0.0000,5,1,6,4,2,4*,2*,"Cl,Co,Cu,H2O,Ni,Pb,xF4",,,,7,0,0,0,,,,,Cold Thin M,Rock Moon None,0
Alchiba VII-c,Corvi VII-c,AlchibaVIIc,Ice,Moon,Ice Moon,Alchiba,50,0.04,Deep freeze,None,None,Chemical,"H2O,Hg,Pb",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,58.3%,Yes,1,0,0,0,,3,0.5022,1,1,3,-1,-2,0*,0*,"H2O,Hg,Pb",,,,3,0,0,0,,,,,Deep freeze None,Ice Moon None,0
Alchiba VII-d,Corvi VII-d,AlchibaVIId,Ice,Moon,Ice Moon,Alchiba,50,0.11,Deep freeze,None,None,Safe,"H2O,Pb",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,58.3%,Yes,1,0,0,0,,3,0.5022,1,1,6,2,0,2*,0*,"H2O,Pb",,,,2,0,0,0,,,,,Deep freeze None,Ice Moon None,0
Alchiba VIII,Corvi VIII,AlchibaVIII,Rock,Planet,Rock Planet,Alchiba,50,2.07,Deep freeze,High N2,Very strong,None,"Fe,He-3",2,None,None,Cratered,Craters,Unknown,58.3%,No,1,0,3,4,Fe,4,0.5022,2,6,1,-4,-4,0,0,"Fe,He-3",,,,2,0,0,0,0%,-162,"Ambient Cold, Rain",No,Deep freeze High N2,Rock Planet Very strong,0
Alchiba VIII-a,Corvi VIII-a,AlchibaVIIIa,Ice,Moon,Ice Moon,Alchiba,50,0.04,Deep freeze,None,None,Safe,"H2O,Pb",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,58.3%,Yes,1,0,0,0,,3,0.5022,1,1,6,2,0,2*,0*,"H2O,Pb",,,,2,0,0,0,,,,,Deep freeze None,Ice Moon None,0
Alchiba VIII-b,Corvi VIII-b,AlchibaVIIIb,Barren,Moon,Barren Moon,Alchiba,50,0.28,Deep freeze,None,None,None,"Al,He-3",2,Unknown,Unknown,Cratered,Craters,Unknown,50.0%,No,1,0,0,0,Al,3,0.5022,1,1,1,-3,-3,0*,0*,"Al,He-3",,,,2,0,0,0,,,,,Deep freeze None,Barren Moon None,0
Alchiba X,Corvi X,AlchibaX,Gas giant,Planet,Gas giant Planet,Alchiba,50,3.66,Deep freeze,H2,Strong,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,50.0%,No,1,0,0,4,,2,0.5022,3,5,1,-1,-1,0*,0*,,,,,0,0,0,0,,,,,Deep freeze H2,Gas giant Planet Strong,0
Alchiba X-a,Corvi X-a,AlchibaXa,Ice,Moon,Ice Moon,Alchiba,50,0.31,Deep freeze,None,None,Chemical,"Au,Cu,H2O",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,58.3%,Yes,1,0,0,0,,3,0.5022,1,1,3,-1,-2,0*,0*,"Au,Cu,H2O",,,,3,0,0,0,,,,,Deep freeze None,Ice Moon None,0
Alchiba X-b,Corvi X-b,AlchibaXb,Rock,Moon,Rock Moon,Alchiba,50,0.74,Temperate,Std O2,None,Biological,"Ar,C6Hn,H2O,Pb",4,Unknown,Unknown,"Archipelago,Ocean,Polar-Ice","Ocean,Ice",Unknown,75.0%,Yes,0,0,0,0,,4,0.0089,6,1,5,4,1,4*,1*,"Ar,C6Hn,H2O,Pb",,,,4,0,0,0,,,,,Temperate Std O2,Rock Moon None,0
Algorab I,,AlgorabI,Rock,Planet,Rock Planet,Algorab,70,0.79,Inferno,Std CO2,Weak,None,"Ir,Pb,U",3,Unknown,Unknown,"Desert-Rocky,Desert-Sandy,Volcanic","Desert,Volcanic",Unknown,50.0%,No,1,0,0,0,,4,1.0000,4,3,1,-3,-3,0*,0*,"Ir,Pb,U",,,,3,0,0,0,,,,,Inferno Std CO2,Rock Planet Weak,1
Algorab II,,AlgorabII,Rock,Planet,Rock Planet,Algorab,70,1.48,Temperate,High O2,Powerful,Safe,"Ar,Cl,H2O,Li,OM,Pi,R-COC,Se,SM",9,Unknown,Unknown,"Forest,Ocean,Polar-Ice,SavannahBarren","Forest,Ocean,Ice,Savanna",Unknown,91.7%,Yes,0,0,0,0,"Pi,Se",4,0.0089,6,7,6,10,6,10*,6*,"Ar,Cl,H2O,Li,R-COC","OM,Pi,Se,SM","Se,SM","OM,Pi",5,4,2,2,,,,,Temperate High O2,Rock Planet Powerful,0
Algorab III,,AlgorabIII,Gas giant,Planet,Gas giant Planet,Algorab,70,2.02,Frozen,H2,Strong,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,50.0%,No,0,0,0,4,,2,0.2787,3,5,1,-1,-1,0*,0*,,,,,0,0,0,0,,,,,Frozen H2,Gas giant Planet Strong,0
Algorab III-a,,AlgorabIIIa,Rock,Moon,Rock Moon,Algorab,70,0.42,Frozen,Std CO2,None,Chemical,"Ar,H2O,He-3,U",4,Unknown,Unknown,"Polar-Ice,SavannahBarren","Ice,Savanna",Unknown,58.3%,Yes,0,0,0,0,,4,0.2787,4,1,3,0,-1,0*,0*,"Ar,H2O,He-3,U",,,,4,0,0,0,,,,,Frozen Std CO2,Rock Moon None,0
Algorab III-b,,AlgorabIIIb,Rock,Moon,Rock Moon,Algorab,70,0.51,Temperate,Thin CO2,Average,Radioactive,"AA,Al,Ar,C6Hn,Cl,Fe,Fi,H2O,HnCn,Lu,Me,Nu,Pi,R-COC,Se,SM",16,Unknown,Unknown,"Archipelago,Forest,Hills,Ocean,Polar-Ice,Wetlands","Forest,Hills,Ocean,Ice,Wetlands",Unknown,91.7%,Yes,0,0,0,0,"Al,Fe,Pi,Se",4,0.0089,4,4,4,2,1,2*,1*,"Al,Ar,C6Hn,Cl,Fe,H2O,HnCn,R-COC","AA,Fi,Lu,Me,Nu,Pi,Se,SM","Fi,Nu,Se","AA,Lu,Me,Pi,SM",8,8,3,5,,,,,Temperate Thin CO2,Rock Moon Average,0
Algorab III-c,,AlgorabIIIc,Ice,Moon,Ice Moon,Algorab,70,0.08,Frozen,None,None,Chemical,"Cl,H2O",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,58.3%,Yes,0,0,0,0,,3,0.2787,1,1,3,-1,-2,0*,0*,"Cl,H2O",,,,2,0,0,0,,,,,Frozen None,Ice Moon None,0
Algorab III-d,,AlgorabIIId,Ice,Moon,Ice Moon,Algorab,70,0.01,Frozen,None,None,Safe,"Cl,H2O",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,58.3%,Yes,0,0,0,0,,3,0.2787,1,1,6,2,0,2*,0*,"Cl,H2O",,,,2,0,0,0,,,,,Frozen None,Ice Moon None,0
Algorab III-e,,AlgorabIIIe,Ice,Moon,Ice Moon,Algorab,70,0.18,Frozen,None,None,Safe,"Cl,H2O,Li",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,58.3%,Yes,0,0,0,0,,3,0.2787,1,1,6,2,0,2*,0*,"Cl,H2O,Li",,,,3,0,0,0,,,,,Frozen None,Ice Moon None,0
Alpha Andraste I,,AlphaAndrasteI,Barren,Planet,Barren Planet,Alpha Andraste,30,0.54,Inferno,None,None,None,"Al,He-3",2,None,None,Cratered,Craters,Unknown,58.3%,No,1,0,0,0,Al,3,1.0000,1,1,1,-3,-3,0,0,"Al,He-3",,,,2,0,0,0,0%,574,"Ambient Heat, Solar Radiation",No,Inferno None,Barren Planet None,1
Alpha Andraste I-a,,AlphaAndrasteIa,Barren,Moon,Barren Moon,Alpha Andraste,30,0.06,Inferno,None,None,None,"Fe,He-3",2,None,None,Cratered,Craters,Boiled Seas,58.3%,No,1,0,0,0,Fe,3,1.0000,1,1,1,-3,-3,0,0,"Fe,He-3",,,,2,0,0,0,,,,,Inferno None,Barren Moon None,1
Alpha Andraste II,,AlphaAndrasteII,Rock,Planet,Rock Planet,Alpha Andraste,30,0.37,Hot,Thin CO2,Weak,None,"Al,An,Be,Cl,Fe,He-3,MA,Nu,Sp,Ta",10,None,Primordial (4),"Cratered,Desert-Sandy,Mountains","Craters,Desert,Mountains",Continual Conductor,58.3%,No,0,0,0,0,"Al,Fe",4,0.1103,4,3,1,-3,-3,0,4,"Al,Be,Cl,Fe,He-3,Ta","An,MA,Nu,Sp","An,Nu","MA,Sp",6,4,2,2,0%,53,Solar Radiation,Yes,Hot Thin CO2,Rock Planet Weak,1
Alpha Andraste III,,AlphaAndrasteIII,Rock,Planet,Rock Planet,Alpha Andraste,30,1.44,Temperate,High O2,Powerful,Heavy metal,"Ar,Bi,Cc,Cl,H2O,Ha,MA,Pb,Sd,Se,SiH3Cl,SM,Sp,Tx,Xe",15,Moderate (11),Moderate (5),"Forest,Ocean,Polar-Ice,SavannahBarren","Forest,Ocean,Ice,Savanna",Unknown,91.7%,Yes,0,0,0,0,Se,4,0.0089,6,7,2,0,-1,11,5,"Ar,Cl,H2O,Pb,SiH3Cl,Xe","Bi,Cc,Ha,MA,Se,Sd,Sp,SM,Tx","Bi,Ha,Se,Sd","Cc,MA,Sp,SM,Tx",6,9,4,5,,,,,Temperate High O2,Rock Planet Powerful,0
Alpha Andraste IV,,AlphaAndrasteIV,Rock,Planet,Rock Planet,Alpha Andraste,30,0.85,Frozen,High M,Very weak,Chemical,"Cu,Fe,H2O,HnCn,Ni,Pb,Pd,Ti",8,None,None,"Desert-Rocky,Hills,Mountains,Polar-Ice","Desert,Hills,Mountains,Ice","Frozen Ecosystem, Emerging Tectonics",66.7%,Yes,0,0,0,0,Fe,4,0.2787,5,2,3,1,-1,0,0,"Cu,Fe,H2O,HnCn,Ni,Pb,Pd,Ti",,,,8,0,0,0,,,,,Frozen High M,Rock Planet Very weak,0
Alpha Andraste V,,AlphaAndrasteV,Rock,Planet,Rock Planet,Alpha Andraste,30,1.18,Frozen,Std N2,Average,None,"Cl,H2O,Ir,Ni,SiH3Cl,U",6,None,None,"Desert-Sandy,Hills,SavannahBarren","Desert,Hills,Savanna",Unknown,58.3%,No,0,0,0,0,,4,0.2787,2,4,1,-4,-4,0,0,"Cl,H2O,Ir,Ni,SiH3Cl,U",,,,6,0,0,0,0%,-142,Ambient Cold,Yes,Frozen Std N2,Rock Planet Average,0
